Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Kamalbinayak, B'",4.2,9,4.5,SW,13,39900000.0
"Mahadevtar, K'",7.2,14,3.5,E,12,42500000.0
"Khumaltar, L'",5.0,4,2.5,NE,13,28500000.0
"Ram Mandir, K'",5.0,6,2.5,N,16,28500000.0
"Bagbazar, K'",2.0,4,5.0,E,20,26000000.0
"Khusibu, K'",2.2,6,2.5,E,13,22500000.0
"Chhauni, K'",4.2,4,2.5,N,14,31000000.0
"Setipakha, L'",4.1,5,2.5,E,12,22500000.0
"Gurjudhara, K'",3.0,4,2.5,W,13,15500000.0
"Hattigauda, K'",4.0,5,2.5,E,15,32500000.0
"Tinkune, K'",4.2,6,2.5,E,16,45000000.0
"Hattiban, L'",4.1,6,3.0,S,13,28700000.0
"Ganesh Chowk, K'",4.0,4,2.5,S,15,32000000.0
"Grande Hospital, K'",3.1,3,2.0,NE,21,24500000.0
"Nakhu, L'",4.1,4,2.5,SW,15,33000000.0
"Kusunti, L'",4.0,5,2.5,S,15,27000000.0
"Kusunti, L'",3.2,4,2.5,S,15,24000000.0
"Mulpani, K'",4.2,8,3.0,W,12,29500000.0
"Gokarneswhor, K'",4.0,8,4.5,S,11,27000000.0
"Golfutar, K'",4.0,6,2.5,E,18,28000000.0
"Bhaisepati, L'",3.1,4,2.5,NW,18,19900000.0
"Syuchatar, K'",5.0,4,2.5,E,16,25000000.0
"Ganesh Chowk, K'",5.0,5,2.5,S,13,35000000.0
"Ganesh Chowk, K'",4.2,5,2.5,SW,15,32000000.0
"Narayanthan, K'",7.2,4,2.5,NE,13,55000000.0
"Narayanthan, K'",4.0,5,2.5,NE,13,35000000.0
"Nakhu, L'",3.0,4,2.5,E,20,23500000.0
"Nakhu, L'",3.0,4,2.5,S,16,23000000.0
"Bhaisepati, L'",4.3,4,2.5,E,16,28000000.0
"Kusunti, L'",3.1,4,2.5,NW,15,23500000.0
"Shankhamul, K'",4.0,7,2.5,W,13,40000000.0
"Hattiban, L'",4.0,6,2.5,E,12,21500000.0
"Gothatar, K'",6.0,4,2.5,SW,20,40000000.0
"Syuchatar, K'",3.0,6,2.5,S,13,20500000.0
